Song,Artist,URI,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_href,analysis_url,duration_ms,time_signature
City Of Satan,Turbonegro,spotify:track:5DdzPBuPKRleXXHGSDsY8V,0.449,0.711,9,-1.431,0,0.0471,0.0123,1.54e-06,0.478,0.563,92.023,audio_features,5DdzPBuPKRleXXHGSDsY8V,https://api.spotify.com/v1/tracks/5DdzPBuPKRleXXHGSDsY8V,https://api.spotify.com/v1/audio-analysis/5DdzPBuPKRleXXHGSDsY8V,344467,4
The Girl From Ipanema,Amy Winehouse,spotify:track:70BS5YOpvhWkkol3Alvsi1,0.691,0.608,9,-5.045,0,0.0516,0.279,1.75e-06,0.111,0.737,138.039,audio_features,70BS5YOpvhWkkol3Alvsi1,https://api.spotify.com/v1/tracks/70BS5YOpvhWkkol3Alvsi1,https://api.spotify.com/v1/audio-analysis/70BS5YOpvhWkkol3Alvsi1,166960,4
New Dawn Fades,Joy Division,spotify:track:1mFEg96v1DYOYTfXcDVpd1,0.314,0.654,2,-7.705,1,0.0457,0.00125,0.876,0.0826,0.313,79.284,audio_features,1mFEg96v1DYOYTfXcDVpd1,https://api.spotify.com/v1/tracks/1mFEg96v1DYOYTfXcDVpd1,https://api.spotify.com/v1/audio-analysis/1mFEg96v1DYOYTfXcDVpd1,287213,4
Love Me,Lil Wayne,spotify:track:2XHzzp1j4IfTNp1FTn7YFg,0.669,0.634,11,-6.476,1,0.0327,0.0125,0.0,0.0946,0.496,124.906,audio_features,2XHzzp1j4IfTNp1FTn7YFg,https://api.spotify.com/v1/tracks/2XHzzp1j4IfTNp1FTn7YFg,https://api.spotify.com/v1/audio-analysis/2XHzzp1j4IfTNp1FTn7YFg,255053,4
Galleriet 2015,ZL-Project,spotify:track:78jA584eCUTwo5bJKsAWSh,0.89,0.36,11,-14.459,0,0.18,0.0401,0.0498,0.869,0.575,115.003,audio_features,78jA584eCUTwo5bJKsAWSh,https://api.spotify.com/v1/tracks/78jA584eCUTwo5bJKsAWSh,https://api.spotify.com/v1/audio-analysis/78jA584eCUTwo5bJKsAWSh,123147,4
Voodoo In My Blood,Massive Attack,spotify:track:0DRe2MeIAT5Bf1kOhRPJ4H,0.633,0.888,1,-9.627,0,0.0368,0.00761,0.655,0.328,0.0654,109.973,audio_features,0DRe2MeIAT5Bf1kOhRPJ4H,https://api.spotify.com/v1/tracks/0DRe2MeIAT5Bf1kOhRPJ4H,https://api.spotify.com/v1/audio-analysis/0DRe2MeIAT5Bf1kOhRPJ4H,241132,4
Super Evil,Watkin Tudor Jones,spotify:track:3gNuef1kljiEnbTtfOyZFY,0.595,0.689,1,-6.697,1,0.439,0.508,1.35e-06,0.241,0.652,202.008,audio_features,3gNuef1kljiEnbTtfOyZFY,https://api.spotify.com/v1/tracks/3gNuef1kljiEnbTtfOyZFY,https://api.spotify.com/v1/audio-analysis/3gNuef1kljiEnbTtfOyZFY,256813,4
Borders,M.I.A.,spotify:track:6LOCiPqGPcdnHEwZOuGGYS,0.577,0.851,1,-5.05,1,0.0781,0.00557,0.00411,0.0984,0.331,178.08,audio_features,6LOCiPqGPcdnHEwZOuGGYS,https://api.spotify.com/v1/tracks/6LOCiPqGPcdnHEwZOuGGYS,https://api.spotify.com/v1/audio-analysis/6LOCiPqGPcdnHEwZOuGGYS,251667,4
Woops 2016 (feat. Benjamin Beats),BEK & Wallin,spotify:track:4yQ0fYmFzaIDlqjEaP1Fij,0.781,0.854,5,-7.422,0,0.211,0.0307,1.67e-05,0.39,0.58,127.896,audio_features,4yQ0fYmFzaIDlqjEaP1Fij,https://api.spotify.com/v1/tracks/4yQ0fYmFzaIDlqjEaP1Fij,https://api.spotify.com/v1/audio-analysis/4yQ0fYmFzaIDlqjEaP1Fij,183940,4
Love Me Or Hate Me,Lady Sovereign,spotify:track:3vepq206APAzMd9eOmyIbX,0.888,0.806,7,-4.717,1,0.0714,0.0145,0.0,0.0686,0.913,120.012,audio_features,3vepq206APAzMd9eOmyIbX,https://api.spotify.com/v1/tracks/3vepq206APAzMd9eOmyIbX,https://api.spotify.com/v1/audio-analysis/3vepq206APAzMd9eOmyIbX,209827,4
East High 2016,TIX,spotify:track:12eXqcGaDFvukbWJbjHFi9,0.561,0.896,1,-4.289,1,0.123,0.0229,0.0,0.0978,0.519,155.06,audio_features,12eXqcGaDFvukbWJbjHFi9,https://api.spotify.com/v1/tracks/12eXqcGaDFvukbWJbjHFi9,https://api.spotify.com/v1/audio-analysis/12eXqcGaDFvukbWJbjHFi9,230203,4
Apogee (feat. Pav),Carl Louis,spotify:track:3O52A9hcTuaaDPtOrgPMfA,0.598,0.67,0,-9.655,1,0.0385,0.222,0.15,0.215,0.499,109.962,audio_features,3O52A9hcTuaaDPtOrgPMfA,https://api.spotify.com/v1/tracks/3O52A9hcTuaaDPtOrgPMfA,https://api.spotify.com/v1/audio-analysis/3O52A9hcTuaaDPtOrgPMfA,249915,4
Fast Food Song,Fast Food Rockers,spotify:track:7l0gjwO3l5AxIOEyM5Zd7d,0.766,0.992,3,-6.172,1,0.0384,0.0196,0.000914,0.317,0.961,130.002,audio_features,7l0gjwO3l5AxIOEyM5Zd7d,https://api.spotify.com/v1/tracks/7l0gjwO3l5AxIOEyM5Zd7d,https://api.spotify.com/v1/audio-analysis/7l0gjwO3l5AxIOEyM5Zd7d,188707,4
Circle Of Life,Elton John,spotify:track:3zx4jAzUO6HQSsu6oFj8Wh,0.29,0.517,10,-10.307,1,0.0325,0.154,0.335,0.109,0.126,160.545,audio_features,3zx4jAzUO6HQSsu6oFj8Wh,https://api.spotify.com/v1/tracks/3zx4jAzUO6HQSsu6oFj8Wh,https://api.spotify.com/v1/audio-analysis/3zx4jAzUO6HQSsu6oFj8Wh,290560,4
Gimme More,Britney Spears,spotify:track:6ic8OlLUNEATToEFU3xmaH,0.788,0.844,2,-3.131,1,0.0334,0.25,0.000678,0.0723,0.382,113.324,audio_features,6ic8OlLUNEATToEFU3xmaH,https://api.spotify.com/v1/tracks/6ic8OlLUNEATToEFU3xmaH,https://api.spotify.com/v1/audio-analysis/6ic8OlLUNEATToEFU3xmaH,251240,4
Human Again (feat. ARY),Carl Louis,spotify:track:47y8T6eC1lYUkNco7TNES1,0.625,0.519,6,-12.359,0,0.0413,0.0774,0.771,0.107,0.59,109.999,audio_features,47y8T6eC1lYUkNco7TNES1,https://api.spotify.com/v1/tracks/47y8T6eC1lYUkNco7TNES1,https://api.spotify.com/v1/audio-analysis/47y8T6eC1lYUkNco7TNES1,231250,4
Bojarernes Indtogsmarsch (Entry March of the Boyars),Johan Halvorsen,spotify:track:7w4m5gZNy0vqwvh8IarZsu,0.435,0.316,7,-18.092,0,0.0429,0.845,0.826,0.0908,0.486,103.689,audio_features,7w4m5gZNy0vqwvh8IarZsu,https://api.spotify.com/v1/tracks/7w4m5gZNy0vqwvh8IarZsu,https://api.spotify.com/v1/audio-analysis/7w4m5gZNy0vqwvh8IarZsu,281387,4
Bromance,Egil Ellevill,spotify:track:74ZCVk6Vq0b1XEFlLkH2Rg,0.691,0.839,7,-5.671,0,0.109,0.151,0.0,0.132,0.5,125.043,audio_features,74ZCVk6Vq0b1XEFlLkH2Rg,https://api.spotify.com/v1/tracks/74ZCVk6Vq0b1XEFlLkH2Rg,https://api.spotify.com/v1/audio-analysis/74ZCVk6Vq0b1XEFlLkH2Rg,203265,4
